Name,Email,Phone,Year,Dept
Student 1,student1@example.com,9184589316,3,IT
Student 2,student2@example.com,9849795543,1,ME
Student 3,student3@example.com,9679385805,2,ME
Student 4,student4@example.com,9603926188,2,IT
Student 5,student5@example.com,9432041359,1,CS
Student 6,student6@example.com,9218217096,3,CS
Student 7,student7@example.com,9638575592,2,EE
Student 8,student8@example.com,9246456369,4,CS
Student 9,student9@example.com,9838123504,1,IT
Student 10,student10@example.com,9109135192,1,EE
Student 11,student11@example.com,9328979376,5,IT
Student 12,student12@example.com,9402697931,2,CE
Student 13,student13@example.com,9638723377,1,EE
Student 14,student14@example.com,9572160993,1,IT
Student 15,student15@example.com,9246788050,1,CS
Student 16,student16@example.com,9471238361,3,ME
Student 17,student17@example.com,9877570204,4,ME
Student 18,student18@example.com,9907864248,5,CE
Student 19,student19@example.com,9438752180,1,EE
Student 20,student20@example.com,9662026408,5,CE
Student 21,student21@example.com,9234159677,2,EE
Student 22,student22@example.com,9611701766,4,IT
Student 23,student23@example.com,9762720023,1,CS
Student 24,student24@example.com,9256623881,4,CE
Student 25,student25@example.com,9250575680,4,CS
Student 26,student26@example.com,9167087877,5,IT
Student 27,student27@example.com,9969011991,3,EE
Student 28,student28@example.com,9301789777,5,EE
Student 29,student29@example.com,9354648375,2,EE
Student 30,student30@example.com,9712034536,2,CS
Student 31,student31@example.com,9587595287,5,CE
Student 32,student32@example.com,9862172901,5,CE
Student 33,student33@example.com,9878491590,4,ME
Student 34,student34@example.com,9479504474,3,IT
Student 35,student35@example.com,9752506387,3,ME
Student 36,student36@example.com,9525182822,4,ME
Student 37,student37@example.com,9618297145,5,EE
Student 38,student38@example.com,9370969084,2,CE
Student 39,student39@example.com,9704123305,1,CS
Student 40,student40@example.com,9804243575,1,EE
Student 41,student41@example.com,9185086758,4,IT
Student 42,student42@example.com,9181422718,5,IT
Student 43,student43@example.com,9201901911,3,ME
Student 44,student44@example.com,9770984442,1,CS
Student 45,student45@example.com,9744661978,5,EE
Student 46,student46@example.com,9612411634,4,IT
Student 47,student47@example.com,9211838689,4,IT
Student 48,student48@example.com,9721979909,3,EE
Student 49,student49@example.com,9813993453,2,IT
Student 50,student50@example.com,9679924052,4,CS
Student 51,student51@example.com,9852363085,4,ME
Student 52,student52@example.com,9184944986,5,CE
Student 53,student53@example.com,9271487706,5,CE
Student 54,student54@example.com,9961668439,2,CE
Student 55,student55@example.com,9112551033,1,CS
Student 56,student56@example.com,9572900072,5,EE
Student 57,student57@example.com,9281761828,4,ME
Student 58,student58@example.com,9498562195,3,ME
Student 59,student59@example.com,9811337426,5,IT
Student 60,student60@example.com,9831044348,5,ME
Student 61,student61@example.com,9593691391,4,CE
Student 62,student62@example.com,9464183962,3,ME
Student 63,student63@example.com,9760362590,5,IT
Student 64,student64@example.com,9105876477,5,CE
Student 65,student65@example.com,9834936296,5,EE
Student 66,student66@example.com,9282926074,4,ME
Student 67,student67@example.com,9764041517,5,EE
Student 68,student68@example.com,9548239199,1,EE
Student 69,student69@example.com,9894562587,5,IT
Student 70,student70@example.com,9769553948,5,ME
Student 71,student71@example.com,9528640755,1,EE
Student 72,student72@example.com,9885500469,5,CS
Student 73,student73@example.com,9820628775,4,CE
Student 74,student74@example.com,9922524415,5,CE
Student 75,student75@example.com,9475131442,4,CS
Student 76,student76@example.com,9316675338,5,EE
Student 77,student77@example.com,9446233557,1,CS
Student 78,student78@example.com,9737214804,3,IT
Student 79,student79@example.com,9549958495,5,EE
Student 80,student80@example.com,9782309233,1,EE
Student 81,student81@example.com,9594933764,5,CE
Student 82,student82@example.com,9671291775,2,CE
Student 83,student83@example.com,9529013683,3,CE
Student 84,student84@example.com,9217459738,1,IT
Student 85,student85@example.com,9586721015,4,CE
Student 86,student86@example.com,9202424238,5,CE
Student 87,student87@example.com,9181307759,3,ME
Student 88,student88@example.com,9658531754,5,EE
Student 89,student89@example.com,9563770437,5,IT
Student 90,student90@example.com,9531094114,3,IT
Student 91,student91@example.com,9976174482,1,ME
Student 92,student92@example.com,9577579744,4,CS
Student 93,student93@example.com,9686898411,2,ME
Student 94,student94@example.com,9708300161,1,CE
Student 95,student95@example.com,9639757871,4,CS
Student 96,student96@example.com,9875003870,2,CS
Student 97,student97@example.com,9120845081,4,IT
Student 98,student98@example.com,9783627945,5,ME
Student 99,student99@example.com,9670992759,1,CS
Student 100,student100@example.com,9607612815,2,EE
Student 101,student101@example.com,9565820981,3,ME
Student 102,student102@example.com,9486175178,3,IT
Student 103,student103@example.com,9669707385,5,CS
Student 104,student104@example.com,9706739769,3,EE
