Name,Email,Phone,Year,Dept
Student 1,student1@example.com,9486334954,1,CS
Student 2,student2@example.com,,5,ME
Student 3,student3@example.com,9895227806,first,EE
Student 4,student4@example.com,9406917230,6,ME
,student5@example.com,,first,EE
Student 6,student6@example.com,9852123049,4,CS
Student 7,student7@example.com,9239694019,3,
Student 8,student8@example.com,9520092021,4,ME
Student 9,student9@example.com,9264404361,2,EE
Student 10,student10@example.com,,5,
,student11@example.com,,1,CS
Student 12,student12@example.com,9898500836,3,
Student 13,student13@example.com,,,
Student 14,student14@example.com,,2,EE
Student 15,student15@example.com,9273337799,,CS
Student 16,student16@example.com,9944798498,3,ME
Student 17,student17@example.com,9869852779,first,CS
Student 18,student18@example.com,,3,
Student 19,invalid-email,9105101128,2,CS
Student 20,student20@example.com,9901142908,6,EE
Student 21,student21@example.com,9303729325,4,CS
,student22@example.com,,5,ME
,student23@example.com,,5,ME
Student 24,student21@example.com,9424542604,,
Student 25,student25@example.com,9263695290,3,ME
Student 26,student26@example.com,9184677755,first,
Student 27,student27@example.com,9819734668,1,CS
Student 28,student28@example.com,9442589477,2,
Student 29,student29@example.com,9670734710,5,
Student 30,invalid-email,9413065987,1,CS
Student 31,invalid-email,9120308144,6,
Student 32,student32@example.com,9997818964,6,ME
Student 33,invalid-email,9656284568,2,
Student 34,student34@example.com,9401629691,1,
Student 35,student35@example.com,9851319345,5,CS
Student 36,student36@example.com,,1,
Student 37,student37@example.com,9280451641,3,
Student 38,student38@example.com,9181503367,3,
Student 39,student39@example.com,9671539893,4,ME
Student 40,student40@example.com,9429242553,2,EE
Student 41,student41@example.com,,3,ME
Student 42,student42@example.com,9351417359,4,CS
Student 43,student43@example.com,,first,
Student 44,student44@example.com,9377078625,3,
,student45@example.com,,6,ME
Student 46,student46@example.com,9287959472,1,EE
Student 47,student47@example.com,9730627751,5,CS
Student 48,invalid-email,9888125997,1,ME
Student 49,student49@example.com,,4,ME
Student 50,invalid-email,9996146621,2,
Student 51,student51@example.com,9398627009,4,CS
Student 52,student52@example.com,9394661424,,ME
Student 53,student53@example.com,9614621556,1,
Student 54,student54@example.com,9760660578,2,EE
Student 55,student55@example.com,,6,ME
,student56@example.com,,4,EE
Student 57,student57@example.com,9639429198,5,
Student 58,student52@example.com,9267079490,3,EE
Student 59,student59@example.com,9277782339,2,
Student 60,student60@example.com,,2,
Student 61,student61@example.com,9244422829,,ME
,student62@example.com,,4,
Student 63,student63@example.com,9764499285,6,ME
Student 64,student64@example.com,,1,
Student 65,student65@example.com,9693579866,,ME
Student 66,student66@example.com,9475427786,3,
Student 67,student67@example.com,9756800038,3,
Student 68,student68@example.com,9906285983,6,
Student 69,student69@example.com,9339368765,2,ME
Student 70,student70@example.com,9243988640,,EE
Student 71,student71@example.com,,5,
Student 72,student16@example.com,9101859846,6,
Student 73,student73@example.com,9554199729,3,CS
Student 74,student74@example.com,9242168822,5,ME
Student 75,student75@example.com,9609662052,5,
Student 76,student76@example.com,9888770448,6,
Student 77,student42@example.com,,first,
Student 78,student78@example.com,9271232761,1,CS
Student 79,student79@example.com,9610310290,3,ME
,student80@example.com,9984287388,5,CS
Student 81,student81@example.com,9704758332,,
Student 82,student82@example.com,9880413168,,CS
Student 83,student83@example.com,,2,ME
Student 84,student84@example.com,9279988555,6,EE
Student 85,student40@example.com,9899726155,5,CS
,student86@example.com,9934585597,2,
,student87@example.com,,4,EE
Student 88,student88@example.com,9145344897,1,ME
,student89@example.com,,4,EE
Student 90,student90@example.com,,2,
Student 91,student91@example.com,9254084018,3,ME
Student 92,student92@example.com,9374427691,4,
Student 93,student93@example.com,9711467267,2,EE
Student 94,student94@example.com,9291244665,4,
Student 95,student95@example.com,9970963440,2,CS
Student 96,student96@example.com,9737326687,1,CS
Student 97,student97@example.com,9557595449,1,
Student 98,student98@example.com,9954869164,2,ME
Student 99,student99@example.com,,3,CS
Student 100,student100@example.com,9968053959,5,CS
,student101@example.com,9451818011,4,EE
Student 102,student102@example.com,,1,ME
Student 103,student103@example.com,,3,EE
Student 104,student104@example.com,9225923601,6,
Student 105,student105@example.com,9479760050,,ME
Student 106,student106@example.com,9738029671,3,CS
Student 107,student107@example.com,,4,EE
,student108@example.com,,first,
,student109@example.com,9971319622,2,EE
Student 110,student110@example.com,9338554349,first,EE
,student111@example.com,9997050018,3,
Student 112,invalid-email,9499298847,1,
Student 113,student113@example.com,9948163484,6,
Student 114,invalid-email,9265890857,first,CS
Student 115,student115@example.com,9298549208,6,
Student 116,student116@example.com,,4,
Student 117,student117@example.com,9623831305,1,EE
,student118@example.com,9215048322,6,EE
,student119@example.com,9456725097,3,ME
Student 120,invalid-email,9240695159,6,EE
Student 121,student121@example.com,9255124271,1,EE
Student 122,student122@example.com,9108964713,first,CS
Student 123,student123@example.com,9773659893,3,EE
Student 124,invalid-email,9422005546,2,
